Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.5454216003418,35.4246891776911,26.90011689528922,29.051480080819935,855215656
1,2007-10-08,30.879344940185547,33.64538338795362,30.685236132145377,33.64538338795362,126671715
2,2007-10-09,32.98217010498047,33.27333102819074,29.229417128249786,30.895508777439975,116725709
3,2007-10-10,33.28950500488281,33.968883374439955,32.99834410019465,33.83947682149577,67931378
4,2007-10-11,37.009910583496094,38.82158501909971,32.99834858261307,38.82158501909971,106320954
5,2007-10-12,36.767269134521484,38.14219971308791,35.90996035723603,36.233473434545786,99410791
6,2007-10-15,37.252540588378906,37.753988515704634,36.9290274951083,37.52752759524435,41814972
7,2007-10-16,41.05381774902344,41.70084829693079,37.0422564347305,37.30106514355186,138614496
8,2007-10-17,44.256614685058594,45.291854234206724,34.324756053270605,36.880511506227435,204876259
9,2007-10-18,42.7037467956543,48.349053311776125,40.87589828072584,44.968338963370854,146617799
10,2007-10-19,42.558162689208984,44.28895877280891,40.439149103294625,41.73320159377269,110266491
11,2007-10-22,41.992000579833984,43.30222652992909,40.60089198840136,41.70083974513797,72253405
12,2007-10-23,44.984500885009766,45.38889219637619,43.02724430524036,43.02724430524036,74594921
13,2007-10-24,44.28895950317383,46.424147025259316,43.78751152208772,45.93887294539988,63055170
14,2007-10-25,44.1918830871582,45.22712638689588,39.0318492582847,42.784600734926734,34522489
15,2007-10-26,45.518314361572266,46.24621900705005,43.75516579846587,44.96834020759551,62370025
16,2007-10-29,46.440311431884766,47.55643325031077,46.03592010461835,46.26238100305824,43657697
17,2007-10-30,47.47555923461914,48.75343331041353,45.6800589480765,47.07116787115375,79921711
18,2007-10-31,48.4622688293457,49.529864582852305,47.55643399721294,47.718190530659996,44655368
19,2007-11-01,47.378509521484375,50.03131900435608,46.99029638921167,49.6592797737885,50632492
20,2007-11-02,48.235816955566406,48.52698228060946,45.291846618226735,45.66389022513117,32001693
21,2007-11-05,49.222530364990234,50.30630012567762,47.912299679528566,48.203464979360426,38833135
22,2007-11-06,49.86956024169922,53.023813193798766,49.190181805199956,50.07984289425368,81880281
23,2007-11-07,49.14164733886719,51.50329098122448,48.04170378472717,50.791564864040616,33593141
24,2007-11-08,48.30051803588867,49.61074874527248,47.23292654343725,47.87995275411746,27990521
25,2007-11-12,49.46516418457031,50.33865129046459,45.566828782844695,46.84470725481463,35153735
